ID,OFFER_ID,TYPE,AMOUNT,CREATED_AT,UPDATED_AT
805263,768459,OfferReward::Fact,4,2021-03-24 21:57:49.000,2021-03-24 21:57:49.000
805262,768458,OfferReward::Instant,1,2021-03-24 21:55:35.000,2021-03-24 23:56:29.000
805261,768457,OfferReward::Fact,4,2021-03-24 21:55:22.000,2021-03-24 21:55:22.000
805260,768456,OfferReward::Instant,3.99000001,2021-03-24 21:54:01.000,2021-03-24 21:54:01.000
805259,768455,OfferReward::Fact,4,2021-03-24 21:53:13.000,2021-03-24 21:53:13.000
805258,768454,OfferReward::Fact,4,2021-03-24 21:53:10.000,2021-03-24 21:53:10.000
805257,768453,OfferReward::Fact,4,2021-03-24 21:53:04.000,2021-03-24 21:53:04.000
805256,768452,OfferReward::ShopNow,12,2021-03-24 21:52:03.000,2021-03-24 21:52:03.000
805255,768451,OfferReward::Fact,1.5,2021-03-24 21:48:36.000,2021-03-24 21:48:36.000
805254,768450,OfferReward::Instant,1,2021-03-24 21:43:26.000,2021-03-24 23:58:30.000
805253,768449,OfferReward::Fact,1,2021-03-24 21:41:31.000,2021-03-24 21:41:31.000
805252,768448,OfferReward::Instant,3.99000001,2021-03-24 21:41:21.000,2021-03-24 21:41:21.000
805251,768447,OfferReward::Fact,2.5,2021-03-24 21:40:19.000,2021-03-24 21:42:19.000
805250,768446,OfferReward::Fact,2,2021-03-24 21:38:01.000,2021-03-24 21:38:01.000
805249,768445,OfferReward::Fact,1.5,2021-03-24 21:37:32.000,2021-03-24 21:40:15.000
805248,768444,OfferReward::Fact,1.25,2021-03-24 21:33:40.000,2021-03-24 21:38:47.000
805247,768443,OfferReward::Fact,1,2021-03-24 21:32:34.000,2021-03-24 21:32:34.000
805246,768442,OfferReward::ShopNow,0,2021-03-24 21:31:03.000,2021-03-24 21:31:03.000
805245,768441,OfferReward::Fact,1.120000005,2021-03-24 21:30:47.000,2021-03-24 21:30:47.000
805244,768440,OfferReward::Instant,1.5,2021-03-24 21:26:26.000,2021-03-24 21:26:26.000
805243,768439,OfferReward::Instant,1.5,2021-03-24 21:26:26.000,2021-03-24 21:26:26.000
805242,768438,OfferReward::Instant,1.5,2021-03-24 21:26:26.000,2021-03-24 21:26:26.000
805241,768437,OfferReward::Instant,1.5,2021-03-24 21:26:25.000,2021-03-24 21:26:25.000
805240,768436,OfferReward::Poll,1,2021-03-24 21:25:33.000,2021-03-24 21:25:33.000
805239,768435,OfferReward::Poll,1,2021-03-24 21:25:33.000,2021-03-24 21:25:33.000
805238,768434,OfferReward::Poll,1,2021-03-24 21:25:32.000,2021-03-24 21:25:32.000
805237,768433,OfferReward::Poll,1,2021-03-24 21:25:32.000,2021-03-24 21:25:32.000
805236,768432,OfferReward::Poll,0.75,2021-03-24 21:25:19.000,2021-03-24 21:25:19.000
805235,768431,OfferReward::Poll,0.75,2021-03-24 21:25:19.000,2021-03-24 21:25:19.000
805234,768430,OfferReward::Poll,0.75,2021-03-24 21:25:19.000,2021-03-24 21:25:19.000
805233,768429,OfferReward::Poll,0.75,2021-03-24 21:25:19.000,2021-03-24 21:25:19.000
805232,768428,OfferReward::Fact,1.5,2021-03-24 21:25:00.000,2021-03-24 21:25:00.000
805231,768427,OfferReward::Poll,0.75,2021-03-24 21:24:48.000,2021-03-24 21:24:48.000
